"clean_txt","sentiment"
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"   s  GoliSoda2  GST releasing soon       ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    Budget2017  Healthcare services  health insurance premiums should be exempted from  GST  says Vandana Luthra  VLCC ht",0
"RT   Check out the latest WA FIRST newsletter via link below  Join today and fix WA s GST and Federal Funding inequity   ",1
"Check out the latest WA FIRST newsletter via link below  Join today and fix WA s GST and Federal Funding inequity  ",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"   in  GoliSoda2  GST Releasing Soon       ",0
"Four more states    Madhya Pradesh  Arunachal Pradesh  Sikkim and Meghalaya    and union territory of Puducherry wi ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"For anything  TaxPayers need pay for everything  sugarcanefarmers  GST   What will   ",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"At least the rental GST input should be allowed  This industry is triggeres consumption and requires some support f ",0
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   What is the BEST thing about being a Twitch streamer   Sometimes streaming can be rough for small streamers but lets try t",-1
" GoliSoda2  GST releasing soon        ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   Flectra Release 1 2 codename WoodStar is out now    Notes    ",0
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"   s  GoliSoda2  GST releasing soon       ",0
"RT   Want  GST for  Petrol and  Diesel        gstforpetrol   ",0
"   in  GoliSoda2  GST Releasing Soon     ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"Woman attempts suicide at  Mumbai Central station  blames  Demonetisation and  GST   ",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT      in  GoliSoda2  GST Releasing Soon         ",0
"     GoliSoda2  GST Releasing Soon       ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"ATO Update   Do you know how the GST applies to property sales and transactions  How about whether you need to regi ",0
"     GoliSoda2  GST Releasing Soon       ",0
"RT   Post the super hit track  Pondattee  the 2nd track  Kelambu from  GoliSoda2 Coming Soon       An  musical",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"     GoliSoda2  GST Releasing Soon       ",0
"   in  GoliSoda2  GST Releasing Soon     ",0
"RT   MS Mani   says GST collections could go up to Rs 1 2 lk cr month gradually  Confident that the buoyancy in",1
"RT   MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"Want  GST for  Petrol and  Diesel        gstforpetrol   ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"parking fare in secbad stn used to be  40  now  thanks to  GST  18   its 47  i gave 50  that fellow says no change ",1
"RT   The thing to be worried about most is that    despite being the primary opposition isn t coming out with a narrative o",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"   in  GoliSoda2  GST Releasing Soon     ",0
"RT    Petrol price in  Delhi touches  U 20B9 74 08  highest since 2013   modi all STAY HOME save  rupee SPEND o",1
"   in  GoliSoda2  GST Releasing Soon       ",0
"RT   The 29th  GST Symposium on Data Analytics was held at  NACIN  Mumbai on 23rd April 2018  ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
" Petrol price in  Delhi touches  U 20B9 74 08  highest since 2013   modi all STAY HOME save ",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT      in  GoliSoda2  GST Releasing Soon      Kollywoodcinemaa ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"Post the super hit track  Pondattee  the 2nd track  Kelambu from  GoliSoda2 Coming Soon       An  musi ",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi  Airport",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"A twist in  taxation    Authority for Advance Ruling says that  GST is payable by international  flyers at Delhi ",1
"Anti profiteering  NAAs 1st order goes againstconsumer  via   GST",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"   in  GoliSoda2  GST Releasing Soon       ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT      in  GoliSoda2  GST Releasing Soon      Kollywoodcinemaa ",0
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"Post the super hit track  Pondattee  the 2nd track  Kelambu from  GoliSoda2 Coming Soon       An  musi ",-1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"RT    GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
" GST collection till April 23 for March 2018 stands at 96000 crores  Might cross 1 lac crore  Finally momentum gained",1
"Our Indirect  Tax Leader  Raja Kumaran  weighs in on the state of  GST in Malaysia 3 years after its implementation ",0
"International passengers buying goods at Delhi airports duty free shops will have to pay  GST  ",1
"International passengers buying goods at Delhi airports duty free shops will have to pay  GST   ",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    OneNationOneTax  modisarkar has given  Latest  Biggest  TaxReform  GST  GSTForNewIndia  GSTForCommonMan  GSTBoostForB",0
"RT      in  GoliSoda2  GST Releasing Soon       ",0
"RT   In keeping with its plan to roll out the e way bill system for the intra State transport of goods in a phased manner  the GS",1
"   in  GoliSoda2  GST Releasing Soon       ",0
"   in  GoliSoda2  GST Releasing Soon      Kollywoodcinemaa ",0
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"   in  GoliSoda2  GST Releasing Soon      Kollywoodcinemaa ",0
"The thing to be worried about most is that    despite being the primary opposition isn t coming out with a ",-1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   What is the BEST thing about being a Twitch streamer   Sometimes streaming can be rough for small streamers but lets try t",-1
"Love this guy   no weird shit   but still  he s awesome and that beard boi xD Check him out   GST  ",-1
"10 states account for over 83  of e way bill generation  Gujarat tops chart  LetsTalkGujarat  EWayBill ",0
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
" yep   we Should Remove  GST from the tax system  Corporations DONT pay it only Consumers pay GST rep ",-1
"RT   Government exploring sugar cess and a  GST cut on ethanol   ",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   BULLYING AND BRIBERY FROM  LIBERALS   NorthernTerritory will receive  259 million a bigger chunk of  GST after it lifted a mor",-1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   GST registration is much more beneficial for your business than you think   GST  GSTIndia  GSTregistration   ",1
"RT   Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   MS Mani   says GST collections could go up to Rs 1 2 lk cr month gradually  Confident that the buoyancy in",1
"RT   MS Mani   says reasonable confident that  GST collections will climb up to Rs 1 lk cr by April 30 ",1
"RT    CNBCTV18Exclusive   Govt sources say Govt expected around Rs 1 lakh cr of  GST revenue during March  March Tax buoyancy",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From  Demonetisation  amp   GST to  RamMandir  amp   Pakistan  there s lot that  BJP has failed to do justice to over the past 4 years",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From  Demonetisation  amp   GST to  RamMandir  amp   Pakistan  there s lot that  BJP has failed to do justice to over the past 4 years",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT       GST no builder is ready to reduce price even after GST   Everyone is recovering",0
"    GST no builder is ready to reduce price even after GST   Everyone is recov ",0
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
" NewIndia ed  U 00A0  U 00BD  ed  U 00B1  U 0087  ed  U 00A0  U 00BC  ed  U 00BF  U 00BE  NewNormal f ed  U 00A0  U 00BE  ed  U 00B7  U 0090 rAll    SaveTheConstitution fr ed  U 00A0  U 00BD  ed  U 00B8  U 0092 m  ModiMadeDisaster    VenkaiahNaidu n ed  U 00A0  U 00BE  ed  U 00B7  U 0090 thingDoing ",0
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT      They   indeed declared emergency once   Demonitization was  Emergency    Aadhaar linking",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From  Demonetisation  amp   GST to  RamMandir  amp   Pakistan  there s lot that  BJP has failed to do justice to over the past 4 years",1
"RT    CNBCTV18Exclusive   Govt sources say Govt expected around Rs 1 lakh cr of  GST revenue during March  March Tax buoyancy",0
"RT    CNBCTV18Exclusive   Govt sources on March  GST breakup  as of April 23   Rs 76000 cr   C GST  S GST  I GST and CESS Rs 2",-1
"RT   Govt to roll out e way bill for intra state movement in Madhya Pradesh  Sikkim  Arunachal Pradesh  Meghalaya and Puducher",0
"RT    CNBCTV18Exclusive   Govt sources say March  GST collections as of April 23 stand at Rs 96 000 cr  55 lakh GST returns fo",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
" ArunJaitley sir Used clothes under  GST yes or not     Pls convey I m from Agra nd there are so many GST officers ",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From absurdity to greater absurdity  From stupidity to idiocy  Happens when you set impossible targets for collecting  GS",-1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   From  Demonetisation  amp   GST to  RamMandir  amp   Pakistan  there s lot that  BJP has failed to do justice to over the past 4 years",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT   While I was coming back to my hotel in  Delhi  My cab driver heard me talking about  GST and then he expressed his vie",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
"RT   Government exploring sugar cess and a  GST cut on ethanol   ",-1
"RT    CRISILJan2018   Kerala has been ranked 14th in economic growth  thread  ed  U 00A0  U 00BD  ed  U 00B1  U 0087   Kerala  economyoftomorrow  Gujarat  GST ",1
" bhai  GST pe sawal  What is the logic of keeping banking  amp  transaction rate       Isn t that crazy an ",-1
"RT   Sir  when did u realise the coffee rates are so high at airports  Some time back only right  When did u realise Petro prod",1
"RT   Trying some new stuff tonight    Tarkov  amp  radical heights LIVE NOW     GST  streamerinitiate ",0
